,Bulk Carrier,Cargo Ship,Chemical Tanker,Container Ship,Fishing Ship,LNG Carrier,Other Cargo,Passenger Ship,Pleasure Craft,Reefer Ship,Ro-Ro Ship,Tanker,Tug,Vehicle Carrier
Bulk Carrier,27,1,0,2,0,0,0,1,0,0,0,0,2,1
Cargo Ship,0,24,0,2,0,1,0,2,0,1,0,1,0,5
Chemical Tanker,0,1,15,0,0,0,0,0,0,0,0,0,0,0
Container Ship,0,1,0,24,0,0,0,0,0,2,0,0,0,2
Fishing Ship,1,1,0,0,33,0,0,0,0,0,0,0,0,0
LNG Carrier,0,1,0,1,0,2,0,0,0,1,1,0,0,0
Other Cargo,0,0,0,0,0,0,5,0,0,0,0,0,0,0
Passenger Ship,2,1,0,1,0,0,0,23,0,0,0,0,1,0
Pleasure Craft,0,0,0,0,0,1,0,0,4,0,0,0,0,0
Reefer Ship,0,2,0,3,0,0,0,1,0,17,0,0,1,1
Ro-Ro Ship,0,0,0,0,0,0,0,0,0,0,25,0,0,0
Tanker,0,1,0,0,1,0,0,0,0,1,0,29,0,2
Tug,1,1,0,0,2,2,0,0,0,1,0,1,18,0
Vehicle Carrier,1,3,1,3,1,1,0,1,0,6,0,0,0,9
