config,n_features,accuracy,macro_f1
tab[kinematic],29,0.5575757575757576,0.5089588939539306
tab[geometric],10,0.6090909090909091,0.5118345975511793
tab[statistical],28,0.5757575757575758,0.4929253334407718
tab[frequency],23,0.3787878787878788,0.3031741599815093
tab[segment],13,0.5545454545454546,0.4757025884569492
tab[all],103,0.6484848484848484,0.5691025834820246
fingerprint_only,64,0.7696969696969697,0.7358417496148224
fp+tab[kinematic],93,0.7787878787878788,0.7370231151684216
fp+tab[geometric],74,0.7606060606060606,0.7256919886336888
fp+tab[statistical],92,0.7696969696969697,0.7177145242777766
fp+tab[frequency],87,0.7727272727272727,0.7342852279070542
fp+tab[segment],77,0.7545454545454545,0.7244834842683827
fp+tab[all] (full),167,0.7818181818181819,0.7503418803213735
