device,batch_size,transformer_ms_per_batch,lightgbm_ms_per_batch,e2e_ms_per_batch,e2e_ms_per_sample,throughput_samples_per_sec
cpu,1,2.9708230000687763,0.18976699968334287,5.134259500191547,5.134259500191547,194.77005398007103
cpu,8,9.045476500177756,0.1979955000570044,11.55317800003104,1.44414725000388,692.4501639270603
cpu,32,23.576915999874473,0.3590550000080839,30.10478999989573,0.9407746874967415,1062.9537691547039
cpu,128,96.66761150001548,0.7921789999818429,104.50542150007095,0.8164486054693043,1224.8168388078611
cpu,512,447.5813189998735,3.101025500218384,463.3036310004536,0.904889904297761,1105.1068149291036
cuda,1,1.3153110002167523,0.09059200005140156,2.6572419999865815,2.6572419999865815,376.3300444615318
cuda,8,1.5153945004567504,0.14679999963846058,2.8515955002512783,0.3564494375314098,2805.44698548411
cuda,32,1.7489429999841377,0.2286955004092306,3.0070610000984743,0.09397065625307732,10641.619840419624
cuda,128,4.672875499818474,2.1611764997942373,6.548108499846421,0.051157097655050165,19547.629670919792
cuda,512,20.62823699961882,4.402247499674559,28.197863000095822,0.05507395117206215,18157.404339408986
